rank,plan,district_id,polsby_popper,pp_rank,reock,reock_rank,avg_rank
1,LA-2026,2,0.0683,1,0.1442,4,2.5
2,CA-2026,19,0.1018,9,0.149,5,7.0
3,TN-2026,5,0.0912,6,0.1739,8,7.0
4,CA-2026,38,0.0794,3,0.1901,14,8.5
5,TX-2026,7,0.1101,14,0.1762,9,11.5
6,TX-2026,4,0.1074,13,0.1911,15,14.0
7,TN-2026,9,0.1415,27,0.1401,2,14.5
8,TX-2026,14,0.1426,28,0.1669,6,17.0
9,CA-2026,9,0.0878,5,0.2419,31,18.0
10,TX-2026,15,0.1335,21,0.1934,17,19.0
11,CA-2026,33,0.1198,16,0.2286,23,19.5
12,TX-2026,33,0.1112,15,0.2497,34,24.5
13,CA-2026,42,0.1536,39,0.1894,13,26.0
14,TX-2026,32,0.1691,51,0.1402,3,27.0
15,FL-2026,25,0.1614,43,0.1846,11,27.0
16,TX-2026,10,0.1492,36,0.2075,19,27.5
17,CA-2026,50,0.1062,11,0.2723,45,28.0
18,OH-2026,1,0.1522,38,0.2149,20,29.0
19,CA-2026,44,0.1379,25,0.2536,36,30.5
20,CA-2026,6,0.1208,17,0.2816,53,35.0
21,CA-2026,22,0.1319,20,0.2785,50,35.0
22,TX-2026,20,0.1476,32,0.2561,39,35.5
23,CA-2026,24,0.1514,37,0.2522,35,36.0
24,VA-2022,9,0.1923,68,0.1707,7,37.5
25,CA-2026,21,0.1631,45,0.2544,38,41.5
26,CA-2026,41,0.1067,12,0.3102,72,42.0
27,TX-2026,36,0.1364,23,0.2929,62,42.5
28,LA-2026,6,0.0823,4,0.3286,84,44.0
29,GA-2024,13,0.1341,22,0.2966,66,44.0
30,OH-2026,15,0.1558,40,0.2793,51,45.5
31,SC-2022,1,0.1492,35,0.2927,61,48.0
32,VA-2022,2,0.2033,79,0.2228,21,50.0
33,CA-2026,31,0.1448,30,0.3046,70,50.0
34,TX-2026,11,0.2168,93,0.1822,10,51.5
35,NY-2024 (w 2020 Pres),19,0.1924,69,0.2536,37,53.0
36,NY-2024 (w 2020 Pres),23,0.2258,96,0.188,12,54.0
37,NY-2024 (w 2020 Pres),24,0.1805,61,0.2768,48,54.5
38,VA-2022,6,0.2066,85,0.2334,25,55.0
39,SC-2022,6,0.0778,2,0.368,108,55.0
40,TX-2026,24,0.1981,70,0.2673,44,57.0
41,CA-2026,51,0.1646,48,0.2992,68,58.0
42,NC-2026,14,0.1707,54,0.296,64,59.0
43,CA-2026,27,0.1481,33,0.3303,85,59.0
44,TX-2026,8,0.1407,26,0.3451,92,59.0
45,TX-2026,18,0.2022,77,0.2749,46,61.5
46,OH-2026,7,0.1901,65,0.2927,60,62.5
47,LA-2026,5,0.1246,19,0.3629,106,62.5
48,FL-2026,28,0.2417,110,0.2017,18,64.0
49,TX-2026,23,0.2194,95,0.2478,33,64.0
50,TX-2026,3,0.2344,102,0.2364,26,64.0
51,CA-2026,18,0.2045,83,0.2754,47,65.0
52,CA-2026,11,0.2683,130,0.0961,1,65.5
53,NC-2026,5,0.2343,101,0.2413,30,65.5
54,CA-2026,45,0.0993,7,0.3887,124,65.5
55,CA-2026,52,0.257,121,0.1925,16,68.5
56,TX-2026,5,0.1905,66,0.3087,71,68.5
57,TN-2026,6,0.2426,111,0.2406,28,69.5
58,OH-2026,2,0.2474,114,0.2392,27,70.5
59,CA-2026,39,0.1482,34,0.3663,107,70.5
60,TX-2026,27,0.1376,24,0.3759,119,71.5
61,MO-2026,5,0.2043,82,0.2937,63,72.5
62,CA-2026,25,0.1718,56,0.3352,89,72.5
63,CA-2026,48,0.0993,8,0.3999,139,73.5
64,CA-2026,5,0.2652,126,0.2268,22,74.0
65,CA-2026,43,0.1992,74,0.3141,74,74.0
66,CA-2026,16,0.1824,62,0.3311,86,74.0
67,CA-2026,36,0.2005,76,0.3136,73,74.5
68,AL-2026,4,0.1992,73,0.3189,77,75.0
69,NC-2026,13,0.1444,29,0.3818,121,75.0
70,OH-2026,8,0.1724,57,0.3464,94,75.5
71,TX-2026,26,0.1578,42,0.3697,111,76.5
72,CA-2026,35,0.1466,31,0.3847,122,76.5
73,TN-2026,8,0.2104,89,0.2966,65,77.0
74,CA-2026,4,0.1701,53,0.3597,101,77.0
75,LA-2026,4,0.1713,55,0.3609,104,79.5
76,TN-2026,3,0.2051,84,0.3206,78,81.0
77,CA-2026,49,0.1915,67,0.3467,95,81.0
78,CA-2026,20,0.1026,10,0.4212,154,82.0
79,SC-2022,5,0.2339,99,0.297,67,83.0
80,CA-2026,32,0.1669,49,0.3744,117,83.0
81,CA-2026,30,0.1642,46,0.3802,120,83.0
82,VA-2022,7,0.2131,92,0.3179,75,83.5
83,AL-2026,1,0.2412,109,0.2872,59,84.0
84,LA-2026,3,0.2465,113,0.284,56,84.5
85,CA-2026,2,0.2086,87,0.3268,82,84.5
86,OH-2026,9,0.2795,145,0.2411,29,87.0
87,CA-2026,7,0.1567,41,0.3967,133,87.0
88,TN-2026,7,0.2582,123,0.2821,54,88.5
89,TX-2026,38,0.2023,78,0.3488,100,89.0
90,TN-2026,2,0.1673,50,0.3907,128,89.0
91,CA-2026,46,0.1216,18,0.4329,162,90.0
92,TX-2026,13,0.2884,152,0.244,32,92.0
93,NC-2026,10,0.2772,143,0.2599,41,92.0
94,NY-2024 (w 2020 Pres),6,0.27,133,0.2803,52,92.5
95,NC-2026,11,0.2785,144,0.2648,43,93.5
96,CA-2026,28,0.1896,64,0.3905,127,95.5
97,CA-2026,1,0.1999,75,0.3752,118,96.5
98,CA-2026,8,0.2328,98,0.3471,96,97.0
99,TN-2026,1,0.2725,138,0.2871,58,98.0
100,CA-2026,40,0.1985,71,0.3904,126,98.5
101,NY-2024 (w 2020 Pres),5,0.2882,151,0.2776,49,100.0
102,GA-2024,8,0.2129,91,0.3684,109,100.0
103,CA-2026,26,0.1643,47,0.4206,153,100.0
104,CA-2026,34,0.2107,90,0.3717,114,102.0
105,FL-2026,15,0.2599,124,0.3224,80,102.0
106,NY-2024 (w 2020 Pres),8,0.2549,117,0.3336,88,102.5
107,SC-2022,4,0.2399,108,0.3609,103,105.5
108,TX-2026,2,0.1692,52,0.4296,161,106.5
109,FL-2026,17,0.3211,174,0.2562,40,107.0
110,GA-2024,9,0.1785,60,0.4213,155,107.5
111,NY-2024 (w 2020 Pres),18,0.2565,120,0.3474,97,108.5
112,GA-2024,7,0.2389,106,0.3705,113,109.5
113,VA-2022,1,0.2035,81,0.411,145,113.0
114,OH-2026,5,0.2703,134,0.3458,93,113.5
115,NC-2026,8,0.288,149,0.3207,79,114.0
116,NC-2026,9,0.1725,58,0.4422,172,115.0
117,OH-2026,4,0.2965,163,0.2999,69,116.0
118,SC-2022,2,0.1735,59,0.4448,173,116.0
119,NY-2024 (w 2020 Pres),1,0.4324,212,0.2304,24,118.0
120,TX-2026,1,0.1992,72,0.4347,165,118.5
121,LA-2026,1,0.1627,44,0.4735,194,119.0
122,CA-2026,15,0.3751,196,0.2614,42,119.0
123,TN-2026,4,0.2511,115,0.3862,123,119.0
124,TX-2026,16,0.2927,158,0.3258,81,119.5
125,CA-2026,13,0.2104,88,0.4197,152,120.0
126,NY-2024 (w 2020 Pres),13,0.2705,135,0.3616,105,120.0
127,MO-2026,6,0.3577,186,0.2832,55,120.5
128,TX-2026,30,0.3563,185,0.2858,57,121.0
129,OH-2026,12,0.2937,160,0.3273,83,121.5
130,NY-2024 (w 2020 Pres),7,0.2665,127,0.3725,116,121.5
131,NY-2024 (w 2020 Pres),15,0.2285,97,0.4112,146,121.5
132,CA-2026,3,0.2397,107,0.4045,143,125.0
133,GA-2024,6,0.2563,119,0.3946,131,125.0
134,GA-2024,4,0.2035,80,0.4495,179,129.5
135,CA-2026,10,0.261,125,0.398,135,130.0
136,AL-2026,6,0.1864,63,0.4791,197,130.0
137,SC-2022,7,0.3065,167,0.3477,98,132.5
138,TX-2026,37,0.2172,94,0.4451,174,134.0
139,TX-2026,17,0.2444,112,0.425,157,134.5
140,TX-2026,25,0.2755,141,0.3911,129,135.0
141,NY-2024 (w 2020 Pres),14,0.3401,179,0.3432,91,135.0
142,AL-2026,7,0.2382,105,0.4363,167,136.0
143,TX-2026,6,0.2721,137,0.3996,137,137.0
144,AL-2026,5,0.3996,200,0.3187,76,138.0
145,CA-2026,23,0.2673,129,0.4192,151,140.0
146,TX-2026,34,0.3107,169,0.3701,112,140.5
147,NC-2026,2,0.2813,146,0.3999,138,142.0
148,TX-2026,22,0.2072,86,0.4812,198,142.0
149,TX-2026,29,0.2341,100,0.4598,188,144.0
150,NY-2024 (w 2020 Pres),22,0.3668,190,0.3478,99,144.5
151,CA-2026,14,0.4029,202,0.3318,87,144.5
152,CA-2026,47,0.2378,104,0.4571,186,145.0
153,MO-2026,8,0.2687,131,0.4278,160,145.5
154,MO-2026,3,0.3712,193,0.3607,102,147.5
155,TX-2026,28,0.2924,156,0.4024,142,149.0
156,GA-2024,5,0.2549,116,0.4539,182,149.0
157,TX-2026,12,0.2881,150,0.4168,149,149.5
158,TX-2026,21,0.309,168,0.3984,136,152.0
159,NC-2026,6,0.2943,161,0.4106,144,152.5
160,VA-2022,8,0.3065,166,0.4004,140,153.0
161,OH-2026,6,0.2713,136,0.4411,171,153.5
162,MO-2026,4,0.3329,177,0.3939,130,153.5
163,OH-2026,13,0.2665,128,0.4537,181,154.5
164,FL-2026,11,0.3357,178,0.3955,132,155.0
165,FL-2026,16,0.3738,195,0.3718,115,155.0
166,NY-2024 (w 2020 Pres),20,0.3112,171,0.4017,141,156.0
167,GA-2024,10,0.2371,103,0.5244,214,158.5
168,NC-2026,4,0.2558,118,0.4942,202,160.0
169,UT-2026,2,0.4223,210,0.3686,110,160.0
170,FL-2026,24,0.321,173,0.415,148,160.5
171,NY-2024 (w 2020 Pres),2,0.5419,231,0.3409,90,160.5
172,FL-2026,4,0.3246,175,0.4123,147,161.0
173,GA-2024,14,0.2936,159,0.4335,164,161.5
174,CA-2026,17,0.2572,122,0.4957,204,163.0
175,CA-2026,29,0.2953,162,0.4379,168,165.0
176,FL-2026,12,0.4088,205,0.3902,125,165.0
177,CA-2026,37,0.2996,164,0.44,170,167.0
178,VA-2022,3,0.3252,176,0.426,158,167.0
179,GA-2024,3,0.2769,142,0.4752,196,169.0
180,GA-2024,2,0.2698,132,0.5012,207,169.5
181,NC-2026,1,0.3416,181,0.4269,159,170.0
182,SC-2022,3,0.3507,183,0.4334,163,173.0
183,VA-2022,10,0.2904,153,0.4875,199,176.0
184,OH-2026,10,0.4489,218,0.398,134,176.0
185,UT-2026,3,0.369,191,0.4353,166,178.5
186,UT-2026,1,0.4159,208,0.417,150,179.0
187,VA-2022,11,0.2734,140,0.5418,219,179.5
188,TX-2026,35,0.3133,172,0.47,193,182.5
189,TX-2026,31,0.3109,170,0.4738,195,182.5
190,NC-2026,3,0.273,139,0.574,228,183.5
191,VA-2022,4,0.303,165,0.4955,203,184.0
192,GA-2024,1,0.2926,157,0.5076,211,184.0
193,FL-2026,10,0.3695,192,0.4461,176,184.0
194,TX-2026,9,0.3409,180,0.4631,190,185.0
195,GA-2024,11,0.2909,154,0.5336,216,185.0
196,NC-2026,7,0.2914,155,0.541,218,186.5
197,GA-2024,12,0.2831,147,0.5665,226,186.5
198,AL-2026,3,0.3543,184,0.4683,192,188.0
199,FL-2026,19,0.3844,197,0.4532,180,188.5
200,NC-2026,12,0.2877,148,0.5749,229,188.5
201,VA-2022,5,0.3662,189,0.4625,189,189.0
202,FL-2026,2,0.4847,223,0.4222,156,189.5
203,NY-2024 (w 2020 Pres),17,0.4314,211,0.4384,169,190.0
204,FL-2026,22,0.4037,203,0.4566,185,194.0
205,NY-2024 (w 2020 Pres),26,0.4355,213,0.4456,175,194.0
206,FL-2026,7,0.4091,206,0.4555,184,195.0
207,FL-2026,9,0.3647,188,0.497,205,196.5
208,FL-2026,8,0.4418,217,0.4471,177,197.0
209,NY-2024 (w 2020 Pres),3,0.4406,216,0.4573,187,201.5
210,FL-2026,20,0.4153,207,0.4894,200,203.5
211,NY-2024 (w 2020 Pres),10,0.3598,187,0.5637,225,206.0
212,MO-2026,7,0.5288,229,0.4551,183,206.0
