plan,district_id,district_name,polsby_popper,reock
AK-2022,1,1,0.0657,0.0031
AL-2022,1,1,0.1982,0.4159
AL-2022,2,2,0.2612,0.4869
AL-2022,3,3,0.2525,0.423
AL-2022,4,4,0.1914,0.3264
AL-2022,5,5,0.3199,0.2495
AL-2022,6,6,0.1558,0.3582
AL-2022,7,7,0.1937,0.4774
AL-2024,1,1,0.1543,0.1928
AL-2024,2,2,0.1428,0.2062
AL-2024,3,3,0.3543,0.4683
AL-2024,4,4,0.1992,0.3189
AL-2024,5,5,0.3996,0.3187
AL-2024,6,6,0.2023,0.463
AL-2024,7,7,0.2083,0.4735
AL-2026,1,1,0.2412,0.2872
AL-2026,2,2,0.3729,0.5869
AL-2026,3,3,0.3543,0.4683
AL-2026,4,4,0.1992,0.3189
AL-2026,5,5,0.3996,0.3187
AL-2026,6,6,0.1864,0.4791
AL-2026,7,7,0.2382,0.4363
AR-2022-(w 2020 Pres),1,1,0.1226,0.3602
AR-2022-(w 2020 Pres),2,2,0.2705,0.4245
AR-2022-(w 2020 Pres),3,3,0.4328,0.4651
AR-2022-(w 2020 Pres),4,4,0.264,0.5256
AZ-2022,1,1,0.3798,0.4132
AZ-2022,2,2,0.3008,0.6028
AZ-2022,3,3,0.3924,0.4513
AZ-2022,4,4,0.2146,0.2088
AZ-2022,5,5,0.3143,0.5182
AZ-2022,6,6,0.2256,0.3811
AZ-2022,7,7,0.1791,0.1629
AZ-2022,8,8,0.3188,0.5037
AZ-2022,9,9,0.1823,0.3314
CA-2022,1,1,0.2217,0.5237
CA-2022,2,2,0.1763,0.2461
CA-2022,3,3,0.1345,0.1345
CA-2022,4,4,0.1794,0.3519
CA-2022,5,5,0.1691,0.2865
CA-2022,6,6,0.3299,0.2723
CA-2022,7,7,0.2492,0.2689
CA-2022,8,8,0.2244,0.3986
CA-2022,9,9,0.2431,0.4401
CA-2022,10,10,0.2332,0.3904
CA-2022,11,11,0.267,0.0961
CA-2022,12,12,0.4796,0.491
CA-2022,13,13,0.2334,0.3924
CA-2022,14,14,0.3255,0.338
