plan,n_districts,mean_pp,mean_reock,mean_avg,min_pp,min_reock
LA-2026,6,0.1426,0.3257,0.2342,0.0683,0.1442
TN-2026,9,0.2045,0.2798,0.2421,0.0912,0.1401
CA-2026,52,0.1917,0.3337,0.2627,0.0794,0.0961
TX-2026,38,0.2253,0.3319,0.2786,0.1074,0.1402
SC-2022,7,0.2188,0.3635,0.2911,0.0778,0.2927
VA-2022,11,0.2621,0.3791,0.3206,0.1923,0.1707
NC-2026,14,0.2565,0.402,0.3292,0.1444,0.2413
OH-2026,15,0.3012,0.3726,0.3369,0.1522,0.2149
GA-2024,14,0.2445,0.4498,0.3471,0.1341,0.2966
AL-2026,7,0.2845,0.4136,0.3491,0.1864,0.2872
NY-2024 (w 2020 Pres),26,0.3643,0.4069,0.3856,0.1805,0.188
MO-2026,8,0.3657,0.4156,0.3907,0.2043,0.2832
FL-2026,28,0.4161,0.4595,0.4378,0.1614,0.1846
UT-2026,4,0.443,0.4458,0.4444,0.369,0.3686
