State,2020,2030,2030-citizen,diff,citizen_diff,effect
Alabama,7,7,7,0,0,0
Alaska,1,1,1,0,0,0
Arizona,9,10,10,1,1,0
Arkansas,4,4,4,0,0,0
California,52,49,47,-3,-5,-2
Colorado,8,8,8,0,0,0
Connecticut,5,5,5,0,0,0
Delaware,1,1,1,0,0,0
Florida,28,31,30,3,2,-1
Georgia,14,15,15,1,1,0
Hawaii,2,2,2,0,0,0
Idaho,2,3,3,1,1,0
Illinois,17,15,15,-2,-2,0
Indiana,9,9,9,0,0,0
Iowa,4,4,4,0,0,0
Kansas,4,4,4,0,0,0
Kentucky,6,6,6,0,0,0
Louisiana,6,6,6,0,0,0
Maine,2,2,2,0,0,0
Maryland,8,8,8,0,0,0
Massachusetts,9,9,9,0,0,0
Michigan,13,13,13,0,0,0
Minnesota,8,7,8,-1,0,1
Mississippi,4,4,4,0,0,0
Missouri,8,8,8,0,0,0
Montana,2,2,2,0,0,0
Nebraska,3,3,3,0,0,0
Nevada,4,4,4,0,0,0
New Hampshire,2,2,2,0,0,0
New Jersey,12,12,12,0,0,0
New Mexico,3,3,3,0,0,0
New York,26,25,24,-1,-2,-1
North Carolina,14,14,15,0,1,1
North Dakota,1,1,1,0,0,0
Ohio,15,15,15,0,0,0
Oklahoma,5,5,5,0,0,0
Oregon,6,5,6,-1,0,1
Pennsylvania,17,16,17,-1,0,1
Rhode Island,2,1,1,-1,-1,0
South Carolina,7,7,7,0,0,0
South Dakota,1,1,1,0,0,0
Tennessee,9,9,10,0,1,1
Texas,38,42,40,4,2,-2
Utah,4,5,5,1,1,0
Vermont,1,1,1,0,0,0
Virginia,11,11,11,0,0,0
Washington,10,10,10,0,0,0
West Virginia,2,2,2,0,0,0
Wisconsin,8,7,8,-1,0,1
Wyoming,1,1,1,0,0,0
