"ID","ag2018","ag2022","gov2018","gov2022","ltgov2022","president2016","president2020","president2024","senator2022","senator2024","sos2022","treas2022"
1,"#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7"
2,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
3,"#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7"
4,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
5,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
6,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
7,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
8,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
9,"#EEEEEE","#1375B7","#EEEEEE","#1375B7","#1375B7","#EEEEEE","#EEEEEE","#1375B7","#EEEEEE","#1375B7","#1375B7","#1375B7"
10,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
11,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
12,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
13,"#EEEEEE","#1375B7","#EEEEEE","#EEEEEE","#1375B7","#EEEEEE","#EEEEEE","#1375B7","#1375B7","#1375B7","#1375B7","#1375B7"
14,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
15,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
16,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
17,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
18,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
19,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
20,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
21,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
22,"#EEEEEE","#1375B7","#EEEEEE","#1375B7","#1375B7","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#1375B7"
23,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
24,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
25,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
26,"#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE","#EEEEEE"
