Id,District
010010202001000,88
010010202001001,88
010010202001002,88
010010202001003,88
010010202001004,88
010010202001005,88
010010202001006,88
010010202001007,88
010010202001008,88
010010202001009,88
010010202001010,88
010010202001011,88
010010202001012,88
010010202001013,88
010010202001014,88
010010202002000,88
010010202002001,88
010010202002002,88
010010202002003,88
010010202002004,88
010010202002005,88
010010202002006,88
010010202002007,88
010010202002008,88
010010202002009,88
010010202002010,88
010010202002011,88
010010202002012,88
010010202002013,88
010010202002014,88
010010202002015,88
010010202002016,88
010010202002017,88
010010202002018,88
010010202002019,88
010010202002020,88
010010202002021,88
010010202002022,88
010010202002023,88
010010202002024,88
010010202002025,88
010010202002026,88
010010202002027,88
010010202002031,88
010010202002032,88
010010202002033,88
010010202002028,88
010010202002029,88
010010202002030,88
010010202002034,88
010010202002035,88
010010202002036,88
010010202002037,88
010010207001000,88
010010207001001,88
010010207001002,88
010010207001003,88
010010207001004,88
010010207001005,88
010010207001006,88
010010207001007,88
010010207001008,88
010010207001009,88
010010207001010,88
010010207001011,88
010010207001012,88
010010207001013,88
010010207001014,88
010010207001015,88
010010207001016,88
010010207001017,88
010010207001018,88
010010207001019,88
010010207001020,88
010010207001021,88
010010207001022,88
010010207001023,88
010010207001024,88
010010207001025,88
010010207001026,88
010010207001027,88
010010207001028,88
010010207001029,88
010010207001030,88
010010207001031,88
010010207001032,88
010010207001033,88
010010207001034,88
010010207001035,88
010010207001036,88
010010207001037,88
010010207001038,88
010010207001039,88
010010207001040,88
010010207001041,88
010010207001042,88
010010207001043,88
010010207001044,88
010010207001045,88
010010207001046,88
010010207001047,88
010010207001048,88
010010207001049,88
010010207001050,88
010010207001051,88
010010207001052,88
010010207001053,88
010010207001054,88
010010207001055,88
010010207001056,88
010010207001057,88
010010207001058,88
010010207001059,88
010010207001060,88
010010207001061,88
010010207001062,88
010010207001063,88
010010207001064,88
010010207001065,88
010010207001066,88
010010207001067,88
010010207001068,88
010010207001069,88
010010207001070,88
010010207001071,88
010010207001072,88
010010207001073,88
010010207001074,88
010010207001075,88
010010207001076,88
010010207001077,88
010010207001078,88
010010207001079,88
010010207001080,88
010010207001081,88
010010207001082,88
010010207001083,88
010010207001084,88
010010207001085,88
010010207001086,88
010010207001087,88
010010207001088,88
010010207001089,88
010010207001090,88
010010207001091,88
010010207001092,88
010010207001093,88
010010207001094,88
010010207001095,88
010010207001096,88
010010207001097,88
010010207001098,88
010010207001099,88
010010207001100,88
010010207001101,88
010010207001102,88
010010207001103,88
010010207001104,88
010010207002000,88
010010207002001,88
010010207002002,88
010010207002003,88
010010207002004,88
010010207002005,88
010010207002006,88
010010207002007,88
010010207002008,88
010010207002009,88
010010207002010,88
010010207002011,88
010010207002012,88
010010207002013,88
010010207002014,88
010010207002015,88
010010207002016,88
010010207002017,88
010010207002018,88
010010207002019,88
010010207002020,88
010010207002021,88
010010207002022,88
010010207002023,88
010010207002024,88
010010207002025,88
010010207002026,88
010010207002027,88
010010207002028,88
010010207002029,88
010010207002030,88
010010208011050,88
010010208011058,88
010010208011075,88
010010203001001,88
010010203001002,88
010010203001003,88
010010203001004,88
010010203001005,88
010010203001006,88
010010203001007,88
010010203001008,88
010010203001009,88
010010203001010,88
010010203001011,88
010010203001012,88
010010203001013,88
010010203001014,88
010010203001015,88
010010203001016,88
010010203001017,88
010010203001018,88
010010203001019,88
010010203001020,88
010010203001021,88
010010203002000,88
010010203002001,88
010010203002002,88
010010203002003,88
010010203002004,88
010010203002005,88
010010203002006,88
010010203002007,88
010010203002008,88
010010203002009,88
010010203002010,88
010010203002011,88
010010203002012,88
010010203002013,88
010010203002014,88
010010203002015,88
010010203002016,88
010010203002017,88
010010203002018,88
010010203002019,88
010010203002020,88
010010204001000,88
010010204001001,88
010010204001002,88
010010204001003,88
010010204001004,88
010010204001005,88
010010204001006,88
010010204001007,88
010010204001008,88
010010204001009,88
010010204001010,88
010010204001011,88
010010204001012,88
010010204001013,88
010010204001014,88
010010204002000,88
010010204002001,88
010010204002002,88
010010204002003,88
010010204002004,88
010010204002005,88
010010204002006,88
010010204002007,88
010010204002008,88
010010204002009,88
010010204002010,88
