"ID","ag2016stroke","ag2020stroke","ag2024stroke","gov2016stroke","gov2020stroke","gov2024stroke","ltgov2016stroke","ltgov2020stroke","ltgov2024stroke","president2016stroke","president2020stroke","president2024stroke","senator2016stroke","senator2018stroke","senator2024stroke","sos2020stroke","sos2024stroke","trea2020stroke","trea2024stroke"
1,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
2,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
3,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
4,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
5,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
6,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
7,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
8,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
