"GEOID","TOTAL"
"29001950100","3706"
"29001950200","2811"
"29001950300","2925"
"29001950400","4193"
"29001950501","3923"
"29001950502","3263"
"29001950900","2149"
"29001951000","2344"
"29003010100","6212"
"29003010201","3962"
"29003010202","2939"
"29003010300","1975"
"29003010400","3047"
"29005950100","3058"
"29005950200","2247"
"29007950100","3796"
"29007950200","4791"
"29007950300","3634"
"29007950400","2720"
"29007950500","3724"
"29007950600","2648"
"29007950700","3649"
"29009960101","2938"
"29009960102","2660"
"29009960201","2655"
"29009960202","3234"
"29009960301","3740"
"29009960302","3026"
"29009960401","3962"
"29009960402","3603"
"29009960500","6150"
"29009960600","2566"
"29011960100","2865"
"29011960200","3804"
"29011960300","4968"
"29013070100","4985"
"29013070200","4055"
"29013070300","4470"
"29013070400","2532"
"29015460100","3230"
"29015460200","2383"
"29015460300","4603"
"29015460400","2204"
"29015460701","1260"
"29015460702","1611"
"29015460801","1633"
"29015460802","2470"
"29017950100","4115"
"29017950200","3858"
"29017950300","2594"
"29019000200","1698"
"29019000300","2622"
"29019000500","5226"
"29019000600","4558"
"29019000700","3345"
"29019000900","1389"
"29019001001","5042"
"29019001003","4108"
"29019001004","4170"
"29019001105","3350"
"29019001106","6434"
"29019001107","3912"
"29019001108","2901"
"29019001109","5811"
"29019001110","7723"
"29019001201","6064"
"29019001202","5315"
"29019001300","4074"
"29019001401","6421"
"29019001402","5964"
"29019001503","4339"
"29019001505","3504"
"29019001506","3167"
"29019001507","3277"
"29019001508","5723"
"29019001602","4626"
"29019001603","3694"
"29019001604","4506"
"29019001702","5745"
"29019001703","3658"
"29019001704","4711"
"29019001803","4414"
"29019001806","5526"
"29019001807","5570"
"29019001901","4530"
"29019001903","4870"
"29019001904","4225"
"29019002000","5458"
"29019002100","4023"
"29019002200","7917"
"29021000100","6343"
"29021000200","4336"
"29021000300","2701"
"29021000400","1563"
"29021000500","2852"
"29021000600","4814"
"29021000701","4576"
"29021000702","4334"
"29021000900","4521"
"29021001000","2279"
"29021001100","2259"
"29021001200","1890"
"29021001500","4912"
"29021001600","2556"
"29021001700","4308"
"29021001800","3338"
"29021002100","2188"
"29021002200","1956"
"29021002300","2229"
"29021002400","1907"
"29021002500","1973"
"29021002700","3514"
"29021002800","4842"
"29021002900","3059"
"29021003001","2961"
"29021003002","2582"
"29023950101","3675"
"29023950102","1872"
"29023950201","5476"
"29023950202","6018"
"29023950301","3745"
"29023950302","3289"
"29023950400","3171"
"29023950500","2285"
"29023950600","3834"
"29023950700","2587"
"29023950800","2808"
"29023950900","3370"
"29025950100","2614"
"29025950201","2979"
"29025950202","3222"
"29027070100","4798"
"29027070200","3298"
"29027070301","4021"
"29027070302","3308"
"29027070400","5720"
"29027070500","4900"
"29027070601","3495"
"29027070602","3255"
"29027070701","2296"
"29027070702","3821"
"29027070800","5371"
"29029950101","2561"
"29029950102","2403"
"29029950201","3635"
"29029950202","2755"
"29029950301","1487"
"29029950302","931"
"29029950401","2087"
"29029950402","1878"
"29029950500","3707"
"29029950600","3885"
"29029950701","2099"
"29029950702","1005"
"29029950801","2626"
"29029950802","3781"
"29029950900","3027"
"29029951101","1580"
"29029951102","1231"
"29029951201","1060"
"29029951202","1007"
"29031880100","6095"
"29031880200","4133"
"29031880300","5273"
"29031880401","5778"
"29031880402","2500"
"29031880501","5536"
"29031880502","4283"
"29031880600","7583"
"29031880700","5025"
"29031880800","4347"
"29031880900","2561"
"29031881000","1749"
"29031881100","3229"
"29031881200","6794"
"29031881301","3804"
"29031881302","2511"
"29031881400","2429"
"29031881500","5066"
"29031881600","3014"
"29033960100","2225"
"29033960200","2419"
"29033960300","3851"
"29035960100","3256"
"29035960200","1946"
"29037060001","4796"
"29037060003","3615"
"29037060004","5345"
"29037060100","1413"
"29037060202","4854"
"29037060305","4789"
"29037060306","6714"
"29037060307","4891"
"29037060308","4474"
"29037060309","4475"
"29037060401","2238"
"29037060402","3326"
"29037060500","2916"
"29037060601","4916"
"29037060602","4028"
"29037060700","3581"
"29037060800","6203"
"29037060904","3229"
"29037061001","4545"
"29037061002","7414"
"29037061100","4179"
"29037061200","4032"
"29037061300","6581"
"29037061400","5270"
"29039870101","2647"
"29039870102","3419"
"29039870200","4857"
"29039870300","3265"
"29041470100","2220"
"29041470200","2372"
"29041470300","2816"
"29043020101","3106"
"29043020102","6333"
"29043020201","4508"
"29043020202","6771"
"29043020204","4714"
"29043020205","6682"
"29043020206","4566"
"29043020207","5045"
"29043020302","6449"
"29043020303","5764"
"29043020304","3675"
"29043020307","4571"
"29043020308","2946"
"29043020309","1930"
"29043020310","6528"
"29043020401","3869"
"29043020402","4032"
"29043020501","4252"
"29043020502","3101"
"29045950100","1927"
"29045950200","1936"
