"GEOID","TOTAL"
"290019501001000","2"
"290019501001001","7"
"290019501001002","10"
"290019501001003","2"
"290019501001004","15"
"290019501001005","4"
"290019501001006","15"
"290019501001007","8"
"290019501001008","6"
"290019501001009","7"
"290019501001010","0"
"290019501001011","0"
"290019501001012","0"
"290019501001013","10"
"290019501001014","0"
"290019501001015","9"
"290019501001016","32"
"290019501001017","17"
"290019501001018","12"
"290019501001019","43"
"290019501001020","3"
"290019501001021","0"
"290019501001022","35"
"290019501001023","4"
"290019501001024","9"
"290019501001025","28"
"290019501001026","0"
"290019501001027","38"
"290019501001028","4"
"290019501001029","12"
"290019501001030","5"
"290019501001031","5"
"290019501001032","7"
"290019501001033","0"
"290019501001034","7"
"290019501001035","7"
"290019501001036","0"
"290019501001037","1"
"290019501001038","0"
"290019501001039","7"
"290019501001040","9"
"290019501001041","6"
"290019501001042","19"
"290019501001043","16"
"290019501001044","27"
"290019501001045","89"
"290019501001046","24"
"290019501001047","10"
"290019501001048","10"
"290019501001049","21"
"290019501001050","9"
"290019501001051","21"
"290019501001052","0"
"290019501001053","0"
"290019501001054","14"
"290019501001055","4"
"290019501001056","0"
"290019501001057","15"
"290019501001058","41"
"290019501001059","28"
"290019501001060","0"
"290019501001061","0"
"290019501001062","0"
"290019501001063","3"
"290019501001064","16"
"290019501001065","3"
"290019501001066","22"
"290019501001067","5"
"290019501001068","0"
"290019501001069","12"
"290019501001070","12"
"290019501001071","22"
"290019501001072","21"
"290019501001073","14"
"290019501001074","6"
"290019501001075","10"
"290019501001076","1"
"290019501001077","11"
"290019501001078","8"
"290019501001079","6"
"290019501001080","8"
"290019501001081","7"
"290019501001082","12"
"290019501001083","7"
"290019501001084","2"
"290019501001085","21"
"290019501001086","0"
"290019501001087","10"
"290019501001088","9"
"290019501001089","13"
"290019501001090","1"
"290019501001091","55"
"290019501001092","18"
"290019501001093","0"
"290019501001094","7"
"290019501001095","46"
"290019501001096","0"
"290019501001097","4"
"290019501001098","4"
"290019501001099","9"
"290019501001100","13"
"290019501001101","0"
"290019501001102","5"
"290019501001103","2"
"290019501001104","0"
"290019501001105","1"
"290019501001106","19"
"290019501001107","16"
"290019501001108","13"
"290019501001109","19"
"290019501001110","18"
"290019501001111","0"
"290019501001112","6"
"290019501001113","13"
"290019501001114","1"
"290019501001115","0"
"290019501001116","0"
"290019501001117","0"
"290019501001118","19"
"290019501001119","24"
"290019501001120","27"
"290019501001121","27"
"290019501001122","0"
"290019501001123","12"
"290019501001124","26"
"290019501002000","8"
"290019501002001","9"
"290019501002002","7"
"290019501002003","14"
"290019501002004","9"
"290019501002005","20"
"290019501002006","0"
"290019501002007","0"
"290019501002008","0"
"290019501002009","5"
"290019501002010","0"
"290019501002011","11"
"290019501002012","8"
"290019501002013","2"
"290019501002014","0"
"290019501002015","2"
"290019501002016","3"
"290019501002017","1"
"290019501002018","22"
"290019501002019","26"
"290019501002020","8"
"290019501002021","0"
"290019501002022","12"
"290019501002023","3"
"290019501002024","11"
"290019501002025","0"
"290019501002026","2"
"290019501002027","15"
"290019501002028","0"
"290019501002029","0"
"290019501002030","3"
"290019501002031","1"
"290019501002032","0"
"290019501002033","0"
"290019501002034","0"
"290019501002035","21"
"290019501002036","0"
"290019501002037","6"
"290019501002038","37"
"290019501002039","3"
"290019501002040","16"
"290019501002041","8"
"290019501002042","9"
"290019501002043","12"
"290019501002044","0"
"290019501002045","0"
"290019501002046","3"
"290019501002047","1"
"290019501002048","50"
"290019501002049","0"
"290019501002050","22"
"290019501002051","7"
"290019501002052","63"
"290019501002053","17"
"290019501002054","0"
"290019501002055","0"
"290019501002056","9"
"290019501002057","0"
"290019501002058","6"
"290019501002059","7"
"290019501002060","2"
"290019501002061","2"
"290019501002062","18"
"290019501002063","0"
"290019501002064","6"
"290019501002065","0"
"290019501002066","20"
"290019501002067","0"
"290019501002068","6"
"290019501002069","20"
"290019501002070","13"
"290019501002071","4"
"290019501002072","23"
"290019501002073","0"
"290019501002074","3"
"290019501002075","12"
"290019501002076","9"
"290019501002077","9"
"290019501002078","3"
"290019501002079","1"
"290019501002080","18"
"290019501002081","13"
"290019501002082","24"
"290019501002083","59"
"290019501002084","29"
"290019501002085","19"
"290019501002086","10"
"290019501002087","13"
"290019501002088","38"
"290019501002089","23"
"290019501002090","14"
"290019501002091","49"
"290019501002092","0"
"290019501002093","18"
"290019501002094","21"
"290019501002095","33"
"290019501002096","9"
"290019501002097","43"
"290019501002098","6"
"290019501002099","0"
"290019501002100","22"
"290019501002101","3"
"290019501002102","6"
"290019501002103","14"
"290019501002104","0"
"290019501002105","20"
"290019501002106","27"
"290019501002107","13"
"290019501002108","0"
"290019501002109","0"
"290019501002110","0"
"290019501002111","0"
"290019501002112","0"
"290019501002113","29"
"290019501002114","11"
"290019501002115","17"
"290019501002116","0"
"290019501002117","0"
"290019501002118","9"
"290019501002119","14"
"290019501002120","2"
"290019501002121","13"
"290019501002122","10"
"290019501002123","6"
"290019501002124","0"
"290019501002125","2"
"290019501002126","0"
"290019501002127","0"
"290019501002128","0"
"290019501002129","0"
"290019501002130","0"
"290019501002131","1"
"290019501002132","0"
"290019501002133","7"
"290019501002134","4"
"290019501002135","20"
"290019501002136","3"
"290019501002137","6"
"290019501002138","0"
"290019501002139","0"
"290019501002140","8"
"290019501002141","10"
"290019501002142","0"
"290019501002143","19"
"290019501002144","26"
"290019501003000","10"
"290019501003001","7"
"290019501003002","3"
"290019501003003","13"
"290019501003004","4"
"290019501003005","0"
"290019501003006","18"
"290019501003007","0"
"290019501003008","8"
"290019501003009","5"
"290019501003010","8"
"290019501003011","4"
