state-district,state,district,pop,income,medianHome,whiteNH,black,asian,hispanic,bach,master
AK-01,AK,01,733971,89336,333300,428104,21801,46476,52473,95793,41004
AL-01,AL,01,726448,67481,212773,533788,117367,8476,35372,79343,33701
AL-02,AL,02,713257,55980,159514,292423,357074,14216,26796,74477,35194
AL-03,AL,03,721576,61128,182221,514907,144296,10361,28243,68356,33977
AL-04,AL,04,722878,61164,174163,587090,50085,4084,58746,63141,27386
AL-05,AL,05,732547,82317,236753,505010,129597,13028,49565,109087,56069
AL-06,AL,06,718516,89550,288133,513972,128798,11737,41159,115722,49356
AL-07,AL,07,719032,55375,180279,278462,383039,9119,31759,74858,33493
AR-01,AR,01,753261,54657,141090,556129,126212,4347,30912,59277,24527
AR-02,AR,02,755913,68446,206940,509959,155137,11903,46077,101489,45280
AR-03,AR,03,771407,75455,248532,496520,21159,25046,129605,99744,43033
AR-04,AR,04,752069,53124,135560,510608,147417,5196,59238,64116,24752
AZ-01,AZ,01,799720,106822,622391,555982,27994,35134,133833,184909,81020
AZ-02,AZ,02,811306,66149,309761,447076,19047,9312,144531,88307,41936
AZ-03,AZ,03,804257,67830,303681,158833,80233,17330,509311,59591,25336
AZ-04,AZ,04,803637,85999,379630,451005,43487,42868,210367,131642,58274
AZ-05,AZ,05,812724,115566,480810,544425,27611,46461,145566,140371,58780
AZ-06,AZ,06,799635,81760,319192,501546,27473,22924,199961,128761,67966
AZ-07,AZ,07,806065,62841,231485,234503,27018,14867,483477,68126,31017
AZ-08,AZ,08,796380,88869,389862,509116,31721,37485,170407,114372,53190
AZ-09,AZ,09,834446,82320,333655,476443,34310,16498,258316,83457,37043
CA-01,CA,01,758486,83155,505930,463920,12502,28758,204557,96354,35700
CA-02,CA,02,757550,100123,764487,536579,10989,30018,117292,130206,55863
CA-03,CA,03,763980,97635,562032,436631,42224,82418,148563,126316,51936
CA-04,CA,04,760463,96500,620162,386018,19051,71669,236133,102472,40994
CA-05,CA,05,771640,91993,457817,428520,17104,45305,234281,99219,34772
CA-06,CA,06,758204,98151,506411,390843,46385,90433,171614,116673,41913
CA-07,CA,07,764675,104881,575148,313746,60595,148627,180325,123822,42093
CA-08,CA,08,759568,105004,631202,236236,92774,126632,245138,109843,41426
CA-09,CA,09,771615,101513,538262,202598,77631,142784,298405,80676,26870
CA-10,CA,10,754125,158180,1080238,365438,33591,153502,149189,167763,77290
CA-11,CA,11,724144,151242,1480803,299624,36500,227730,105884,213677,106439
CA-12,CA,12,747565,113913,993710,249447,113220,149418,177024,154044,86898
CA-13,CA,13,763733,69234,367570,157856,25118,55912,498889,42769,11966
CA-14,CA,14,743177,152987,1085360,182071,35243,306965,173105,156384,83431
CA-15,CA,15,741689,152664,1400798,210248,17597,273186,193146,154591,70100
CA-16,CA,16,745643,172527,1530719,310480,14881,226354,149234,150365,111136
CA-17,CA,17,745648,178338,1413002,158538,15971,408632,125449,164887,137537
CA-18,CA,18,763110,104587,783585,143100,15386,79445,501376,75289,27514
CA-19,CA,19,748193,134810,1085005,363262,13375,139128,188241,143204,71175
CA-20,CA,20,767759,90064,357254,348340,25152,47109,307172,81526,32480
CA-21,CA,21,763269,63207,291379,155769,31920,71924,477475,54224,18475
CA-22,CA,22,773260,60118,264121,115218,34903,31989,573307,34707,10822
CA-23,CA,23,776259,75678,361247,296724,61570,29251,347250,58963,26016
CA-24,CA,24,759654,99358,854034,379623,10913,35544,298224,115638,48139
CA-25,CA,25,765461,72720,364924,220221,26279,22365,472706,71879,28736
CA-26,CA,26,752714,119653,807215,318019,18154,59230,322655,120296,51030
CA-27,CA,27,743661,99429,587354,227188,73491,64523,344038,93615,34383
CA-28,CA,28,748385,110911,974632,196379,29355,278104,209291,152570,67890
CA-29,CA,29,740344,78293,713196,164621,28240,56587,468018,96893,25581
CA-30,CA,30,744628,95349,1110928,402439,28110,94106,178828,193548,66446
CA-31,CA,31,744038,98499,676574,131830,26698,135283,425744,100118,37458
CA-32,CA,32,761778,126533,1073799,402666,28508,96224,188287,171118,66718
CA-33,CA,33,755282,90418,476175,135042,70924,55750,463403,66973,29670
CA-34,CA,34,753618,67546,798384,83921,30545,128908,489161,105015,33822
CA-35,CA,35,766715,99592,599969,141093,44462,101972,453434,90322,31720
CA-36,CA,36,737479,136476,1447166,397343,27431,136300,121025,208432,93152
CA-37,CA,37,746786,70174,842733,95217,163899,47482,408861,88664,38475
CA-38,CA,38,742563,94862,721021,98578,8912,184899,431843,97223,34017
CA-39,CA,39,762030,90233,484007,150780,65939,45741,472968,59486,24072
CA-40,CA,40,770407,129000,725127,356223,31556,78532,256867,121241,49883
CA-41,CA,41,748270,100197,729245,163957,26812,77947,453220,98201,37588
CA-42,CA,42,750072,107336,961985,342533,38862,84841,240195,155064,59939
CA-43,CA,43,734917,74798,660537,50385,166509,62637,427723,74944,26002
CA-44,CA,44,749889,78125,594960,59152,65475,67922,535310,66523,19316
CA-45,CA,45,735994,101972,777224,152380,17158,280963,256223,120765,38093
CA-46,CA,46,760555,90216,679366,133211,12547,108118,484240,82960,26410
CA-47,CA,47,754683,135742,1076023,347857,13084,207958,136511,187098,91171
CA-48,CA,48,764561,97092,596881,323425,29753,54620,310274,104397,41938
CA-49,CA,49,747359,140479,1125583,416416,15621,94637,170832,159572,75532
CA-50,CA,50,750816,125557,951924,410548,19909,120832,147977,172379,82052
CA-51,CA,51,769478,97305,732002,394826,51135,61651,211472,135725,56422
CA-52,CA,52,756767,90690,632762,126097,52400,96131,448402,86974,28499
CO-01,CO,01,719760,100674,616863,392873,61223,25295,200804,179229,79384
CO-02,CO,02,719863,104374,699955,550613,5910,23810,102448,163100,86039
CO-03,CO,03,725985,72297,390280,489743,6172,5570,188062,108300,42307
CO-04,CO,04,743439,120845,560930,562625,12499,25524,108036,154659,66451
CO-05,CO,05,727336,97099,443319,481607,40535,20204,134169,120548,60620
CO-06,CO,06,722536,107015,546188,408147,71847,39931,161641,138304,62228
CO-07,CO,07,721393,110209,579025,547709,8617,21461,111054,161683,71831
CO-08,CO,08,730462,94096,440451,381593,13774,21542,284864,91952,36338
CT-01,CT,01,720314,84783,239180,422495,104443,39405,128334,107615,63257
CT-02,CT,02,722788,90509,267305,574387,26015,25502,67283,106195,63696
CT-03,CT,03,723101,83210,268712,450425,98705,30598,120050,102075,63223
CT-04,CT,04,720014,127609,610345,419854,81909,41235,152620,138779,84715
CT-05,CT,05,719113,88811,275294,473686,48085,29131,141778,106902,59329
DE-01,DE,01,1005872,82855,326800,593548,215204,41015,107829,144339,77430
FL-01,FL,01,782505,78152,291841,547387,99223,20538,61507,108030,46671
FL-02,FL,02,780431,66182,230342,494318,176483,15046,57309,97631,45432
FL-03,FL,03,781786,62238,223505,508377,124361,22372,93201,84307,42320
FL-04,FL,04,785255,73695,255918,413543,238148,20439,73845,95704,36320
FL-05,FL,05,791819,95370,389311,512521,92441,44510,96311,159118,61347
FL-06,FL,06,794588,63852,249461,566941,86223,12115,98173,94349,38028
FL-07,FL,07,779537,84553,336242,482210,71799,29398,165479,134982,50548
FL-08,FL,08,782757,82225,321022,517167,72692,23856,127336,121027,59599
FL-09,FL,09,787945,72383,307897,357343,67042,21385,310740,107269,42820
FL-10,FL,10,791245,70182,313641,251661,215048,32585,252027,118269,46885
FL-11,FL,11,779368,90961,385281,451486,74787,34888,175483,137015,56931
FL-12,FL,12,795909,78668,323779,446005,70709,28030,218323,120783,48380
FL-13,FL,13,770466,73590,316766,566007,48506,29027,94539,129395,49772
FL-14,FL,14,785098,90717,363973,403911,99473,25155,219205,128024,55879
FL-15,FL,15,800412,67970,261113,481962,106527,32838,142603,97453,42595
FL-16,FL,16,786544,78566,353025,529853,87020,16261,122592,128187,55895
FL-17,FL,17,798065,75220,352648,588542,58255,13651,109357,120527,59174
FL-18,FL,18,810027,66583,245552,407694,117211,14397,239242,89290,32274
FL-19,FL,19,796002,83830,431810,537514,38334,13478,183152,132794,59706
FL-20,FL,20,772462,66128,310637,194047,327005,22685,189845,100448,40984
FL-21,FL,21,786575,88391,407873,491650,103672,16962,142079,130703,51711
FL-22,FL,22,786597,106310,480092,352766,104801,31142,260314,129309,61746
FL-23,FL,23,777789,75253,350999,314748,194431,17844,221620,115610,47839
FL-24,FL,24,790226,60349,350318,83638,353738,9336,321971,81505,31116
FL-25,FL,25,755199,86094,533920,415751,47909,18448,232365,163528,72079
FL-26,FL,26,763447,84512,421243,101092,65234,21124,557882,118622,44872
FL-27,FL,27,752337,91172,576262,125739,37805,15761,553158,136242,61265
FL-28,FL,28,764489,79510,438721,122711,69522,10474,546078,105242,35383
GA-01,GA,01,778012,70004,240477,443543,221093,14097,62141,89359,39538
GA-02,GA,02,756834,53977,145813,297977,374640,9936,45735,62405,31654
GA-03,GA,03,774753,82324,266185,497257,182971,14924,49789,92795,41743
GA-04,GA,04,761411,78288,318018,156762,369175,69103,136619,118575,56395
GA-05,GA,05,760589,81958,380991,230659,375416,41339,80781,139615,74557
GA-06,GA,06,774684,96990,379082,228599,396574,26090,92718,151357,70964
GA-07,GA,07,778833,134816,500076,493641,61622,102335,82857,184776,93082
GA-08,GA,08,769463,62910,162852,442755,228537,12126,58521,66834,34240
GA-09,GA,09,783212,86517,316347,474851,92840,53551,133197,106657,42341
