ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"1",731203,0,0.4256,0.5567,0.0177,570538,0.7114,0.2886,0.0682,0.1739,0.0253,0.0192,0.0018,
"2",731203,0,0.4074,0.575,0.0176,563028,0.6407,0.3593,0.0596,0.2539,0.0272,0.0219,0.0018,
"3",731204,0,0.3017,0.6832,0.0151,577297,0.7405,0.2595,0.0475,0.1759,0.0146,0.0208,0.001,
"4",731204,0,0.3724,0.6096,0.018,565412,0.6705,0.3295,0.09,0.1903,0.0307,0.0201,0.0014,
"5",731204,0,0.4036,0.5803,0.0161,562685,0.6649,0.3351,0.0453,0.2466,0.0226,0.021,0.0012,
"6",731204,0,0.6522,0.3337,0.0141,586760,0.4455,0.5545,0.0532,0.4689,0.0212,0.0162,0.0018,
"7",731203,0,0.4108,0.5782,0.011,588740,0.6713,0.3287,0.0402,0.2539,0.0139,0.02,0.0012,
