"ID","ag2018stroke","ag2022stroke","aud2022stroke","gov2018stroke","gov2022stroke","president2016stroke","president2020stroke","president2024stroke","sc12022stroke","sc12024stroke","sc22022stroke","sc22024stroke","sc32024stroke","scc2022stroke","senator2016stroke","senator2022stroke","senator2024stroke","sos2022stroke","trea2022stroke"
1,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
2,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
3,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
4,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
5,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
6,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
7,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
8,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
9,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
10,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
11,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
12,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
13,"none","none","none","none","none","none","none","none","#000000","none","#000000","none","none","none","none","none","none","none","none"
14,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
15,"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
