Id,District
080010078011000,25
080010078011014,25
080010078021000,25
080010078021001,25
080010078021002,25
080010078021003,25
080010078021004,25
080010078021005,25
080010078021006,25
080010078021007,25
080010078021008,25
080010078021009,25
080010078021010,25
080010078021011,25
080010079001015,25
080010079001028,25
080010079001029,25
080010079003000,25
080010079003013,25
080010080003000,25
080010080003001,25
080010080003002,25
080010080003003,25
080010080003004,25
080010080003005,25
080010080003006,25
080010080003011,25
080010080003012,25
080010080003013,25
080010080004000,25
080010080004001,25
080010080004002,25
080010080004003,25
080010080004004,25
080010080004005,25
080010080004006,25
080010080004007,25
080010080004008,25
080010080004009,25
080010080004010,25
080010080004011,25
080010080004012,25
080010080005000,25
080010080005001,25
080010080005002,25
080010080005003,25
080010080005004,25
080010080005005,25
080010080005006,25
080010080005007,25
080010080005008,25
080010080005009,25
080010080005010,25
080010080005011,25
080010080005012,25
080010080005013,25
080010080005014,25
080010080006000,25
080010080006001,25
080010080006002,25
080010080006003,25
080010080006004,25
080010080006005,25
080010080006006,25
080010080006007,25
080010080006008,25
080010080006009,25
080010080006010,25
080010080006011,25
080010080006012,25
080010080006013,25
080010080006014,25
080010078011001,25
080010078011002,25
080010078011003,25
080010078011004,25
080010078011005,25
080010078011006,25
080010078011007,25
080010078011008,25
080010078011009,25
080010078011010,25
080010078011011,25
080010078011012,25
080010078011013,25
080010078012000,25
080010078012001,25
080010078012002,25
080010078012003,25
080010078012004,25
080010078012005,25
080010078012006,25
080010078012007,25
080010078012008,25
080010078012009,25
080010078012010,25
080010078012011,25
080010078012012,25
080010078012013,25
080010078012014,25
080010079001000,25
080010079001001,25
080010079001002,25
080010079001003,25
080010079001004,25
080010079001005,25
080010079001006,25
080010079001007,25
080010079001008,25
080010079001009,25
080010079001010,25
080010079001011,25
080010079001012,25
080010079001013,25
080010079001014,25
080010079001016,25
080010079001017,25
080010079001018,25
080010079001019,25
080010079001020,25
080010079001021,25
080010079001022,25
080010079001023,25
080010079001024,25
080010079001025,25
080010079001026,25
080010079001027,25
080010079001030,25
080010079001031,25
080010079001032,25
080010079001033,25
080010079001034,25
080010079001035,25
080010079002000,25
080010079002001,25
080010079002002,25
080010079002003,25
080010079002004,25
080010079002005,25
080010079002006,25
080010079002007,25
080010079002008,25
080010079002009,25
