ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",769364,0,0.761,0.2076,0.0314,609403,0.4426,0.5574,0.0399,0.4539,0.0474,0.0178,0.0011,
"2",769364,0,0.4474,0.522,0.0306,598975,0.8602,0.1398,0.0266,0.0367,0.0509,0.0184,0.0009,
"3",769364,0,0.4217,0.5441,0.0341,601259,0.8625,0.1375,0.0278,0.0525,0.0247,0.0247,0.0014,
"4",769364,0,0.3706,0.5951,0.0342,589494,0.8517,0.1483,0.0403,0.0501,0.0164,0.0331,0.0031,
"5",769364,0,0.6105,0.3524,0.0371,597387,0.6188,0.3812,0.095,0.2245,0.0316,0.0314,0.0044,
"6",769364,0,0.3876,0.5823,0.0302,588295,0.8781,0.1219,0.0317,0.0419,0.0145,0.0262,0.0027,
"7",769365,0,0.3167,0.6482,0.0351,594947,0.8502,0.1498,0.0496,0.0264,0.0191,0.0456,0.0045,
"8",769364,0,0.3317,0.6369,0.0314,595852,0.8828,0.1172,0.0194,0.0471,0.0114,0.0305,0.001,
"",769364,0,0.4557,0.5114,0.0329,596952,0.7797,0.2203,0.0413,0.1177,0.0271,0.0284,0.0024,
