ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"District 1",776249,-0.0001,0.2702,0.7136,0.0162,603226,0.7058,0.2942,0.1039,0.1334,0.03,0.03,0.0012,
"District 2",776248,-0.0001,0.7154,0.2639,0.0208,598884,0.2969,0.7031,0.0825,0.5826,0.0336,0.0155,0.0011,
"District 3",776355,0.0001,0.2693,0.7101,0.0206,586663,0.6397,0.3603,0.0463,0.278,0.0201,0.0167,0.001,
"District 4",776337,0.0001,0.2839,0.6965,0.0196,590468,0.6113,0.3887,0.0431,0.3034,0.0154,0.0265,0.0018,
"District 5",776285,0,0.2829,0.6992,0.0179,597119,0.6002,0.3998,0.0358,0.3322,0.0129,0.0195,0.001,
"District 6",776283,0,0.3129,0.6714,0.0157,594188,0.646,0.354,0.0633,0.2454,0.0272,0.0175,0.0009,
