ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",776327,0,0.2652,0.6879,0.0469,603907,0.7155,0.2845,0.1066,0.1269,0.0298,0.0236,0.0012,
"2",776316,0,0.6588,0.3083,0.0329,598204,0.3641,0.6359,0.0859,0.5101,0.034,0.0166,0.0011,
"3",776287,0,0.2709,0.6954,0.0338,588557,0.6798,0.3202,0.0493,0.2257,0.0212,0.025,0.0011,
"4",776302,0,0.2361,0.7329,0.0309,593646,0.7016,0.2984,0.0461,0.2058,0.0176,0.0277,0.0018,
"5",776285,0,0.3113,0.6562,0.0325,597217,0.6486,0.3514,0.0445,0.2696,0.0189,0.0177,0.0009,
"6",776240,-0.0001,0.5808,0.3892,0.03,589017,0.3875,0.6125,0.0424,0.5399,0.0176,0.0153,0.0009,
"",776293,0.0001,0.3845,0.5809,0.0346,595091,0.5831,0.4169,0.0626,0.3125,0.0232,0.021,0.0012,
