"block","city"
"011339657003025","0132704"
"011339657002038","0132704"
"011339657002045","0132704"
"011339657002009","0132704"
"011339658005023","0132704"
"011339658003003","0132704"
"011339657002060","0132704"
"010939640013039","0132704"
"011339657003002","0132704"
"011339658004011","0132704"
"011339658004003","0132704"
"010939640011126","0132704"
"011339658005006","0132704"
"011339658005070","0132704"
"011339658005066","0132704"
"011339657002051","0132704"
"011339657002027","0132704"
"011339658004019","0132704"
"011339658002019","0132704"
"011339657002073","0132704"
"011339657003033","0132704"
"011339657002003","0132704"
"011339657003044","0132704"
"011339658005020","0132704"
"011339658005042","0132704"
"011339658005038","0132704"
"011339657003035","0132704"
"011339657002037","0132704"
"011339658005057","0132704"
"011339658005044","0132704"
"011339658005043","0132704"
"011339657002048","0132704"
"011339657004070","0132704"
"011339658005053","0132704"
"010939640013010","0132704"
"011339658005017","0132704"
"011339657002007","0132704"
"011339657003026","0132704"
"011339657004048","0132704"
"011339658002025","0132704"
"011339657002070","0132704"
"011339658005003","0132704"
"011339658003022","0132704"
"011339657002069","0132704"
"011339657004038","0132704"
"011339658003024","0132704"
"011339658005049","0132704"
"011339658005026","0132704"
"011339657002036","0132704"
"011339657002041","0132704"
"011339657001027","0132704"
"011339657003004","0132704"
"011339657002011","0132704"
"011339658005024","0132704"
"011339657002030","0132704"
"011339657002056","0132704"
"011339658005041","0132704"
"011339657003017","0132704"
"011339658005047","0132704"
"011339657001002","0132704"
"011339657001001","0132704"
"010939640011148","0132704"
"011339658002026","0132704"
"011339658005035","0132704"
"011339658005060","0132704"
"011339657004046","0132704"
"011339657003042","0132704"
"011339657001017","0132704"
"011339658005052","0132704"
"011339658005048","0132704"
"011339658005007","0132704"
"011339658005030","0132704"
"011339657002044","0132704"
"010939640011132","0132704"
"010939640011149","0132704"
"011339658004002","0132704"
"011339657003031","0132704"
"011339657002012","0132704"
"011339658003005","0132704"
"011339657003019","0132704"
"010939640013012","0132704"
"011339658005056","0132704"
"011339658005036","0132704"
"011339657004037","0132704"
"011339658005031","0132704"
"011339658003007","0132704"
"011339658005005","0132704"
"011339657002014","0132704"
"011339658005071","0132704"
"011339657002066","0132704"
"011339658005050","0132704"
"011339657001011","0132704"
"011339658003025","0132704"
"011339657002015","0132704"
"011339657003034","0132704"
"011339658004022","0132704"
"011339658005028","0132704"
"011339658005016","0132704"
"011339657002010","0132704"
"011339657002028","0132704"
"011339657002001","0132704"
"011339658005012","0132704"
"011339657004045","0132704"
"011339658004014","0132704"
"011339658005010","0132704"
"011339657004035","0132704"
"011339657003036","0132704"
"010939640011143","0132704"
"011339657002016","0132704"
"011339657002021","0132704"
"011339657002067","0132704"
"011339657001023","0132704"
"011339658005054","0132704"
"011339657003012","0132704"
"011339657003048","0132704"
"011339657003028","0132704"
"011339657002072","0132704"
"011339658005021","0132704"
"011339657003043","0132704"
"011339658004012","0132704"
"011339657003046","0132704"
"010939640013030","0132704"
"011339657001025","0132704"
"011339657003045","0132704"
"011339657003047","0132704"
"011339658005046","0132704"
"011339657002004","0132704"
"011339658005013","0132704"
"011339657002042","0132704"
"011339657002049","0132704"
"011339658005062","0132704"
"011339658003023","0132704"
"011339657002071","0132704"
"011339658002015","0132704"
"011339657002032","0132704"
"011339657002039","0132704"
"010939640013066","0132704"
"011339658004041","0132704"
"011339657004044","0132704"
"011339658005004","0132704"
"011339657001030","0132704"
"011339658004018","0132704"
"011339658005029","0132704"
"011339658005018","0132704"
"011339658004038","0132704"
"011339658005000","0132704"
"011339658004001","0132704"
"011339657001029","0132704"
"011339657002064","0132704"
"011339657001016","0132704"
"011339657002050","0132704"
"011339658005027","0132704"
"011339658005051","0132704"
"011339657004043","0132704"
"011339658004035","0132704"
"010939640011140","0132704"
"010939640011123","0132704"
"011339657002022","0132704"
"011339658004000","0132704"
"011339657003029","0132704"
"011339658003004","0132704"
"010939640013074","0132704"
"010939640013037","0132704"
"011339657002068","0132704"
"011339657003027","0132704"
"011339657003008","0132704"
"011339657001031","0132704"
"011339657004039","0132704"
"010939640013058","0132704"
"011339658003002","0132704"
"010939640011137","0132704"
"011339658005002","0132704"
"011339658005019","0132704"
"011339658005025","0132704"
"011339658004021","0132704"
"011339657003030","0132704"
"011339657003032","0132704"
"011339657002062","0132704"
"011339658005008","0132704"
"011339658004004","0132704"
"011339658005032","0132704"
"011339657002020","0132704"
"011339657003050","0132704"
"011339658005014","0132704"
"011339657002040","0132704"
"011339658004008","0132704"
"011339658003026","0132704"
"011339657002074","0132704"
"010939640013072","0132704"
"010939640011130","0132704"
"011339657002013","0132704"
"011339658004013","0132704"
"011339657001014","0132704"
"011339657002026","0132704"
"011339657003003","0132704"
"011339658003018","0132704"
"011339657002017","0132704"
"011339657003041","0132704"
"011339657002035","0132704"
"011339657001033","0132704"
"011339658002047","0132704"
"011339657002061","0132704"
"011339658004026","0132704"
"011339657004028","0132704"
"010939640011099","0132704"
"011339658005015","0132704"
"011339657001003","0132704"
"011339658002023","0132704"
"011339658004009","0132704"
"011339657004051","0132704"
"011339657004052","0132704"
"011339657001004","0132704"
"010939640013050","0132704"
"011339658003021","0132704"
"011339657003015","0132704"
"011339657002065","0132704"
"011339658005040","0132704"
"011339657003005","0132704"
"011339658004036","0132704"
"011339657002034","0132704"
"011339657002029","0132704"
"011339658005055","0132704"
"011339657002054","0132704"
"010939640013033","0132704"
"011339658005037","0132704"
"011339657004041","0132704"
"011339658005033","0132704"
"011339657003037","0132704"
"011339657001008","0132704"
"011339658004005","0132704"
"011339658005011","0132704"
"011339657003024","0132704"
"011339657002019","0132704"
"011339657002063","0132704"
"011339658005045","0132704"
"011339657001022","0132704"
"011339657002052","0132704"
"011339657001021","0132704"
"011339657001032","0132704"
"011339657002058","0132704"
"011339657002025","0132704"
"011339658004024","0132704"
"011339657004042","0132704"
"011339658005039","0132704"
"011339657002075","0132704"
"011339657002046","0132704"
"010939640013075","0132704"
"011339657003016","0132704"
"011339657003007","0132704"
"011339658004006","0132704"
