"name","pop10","white10","minority10","pop20","white20","minority20","NAMELSAD20","ALAND20","pop_change","minority_pop_change","pop_change_per","density_2020_mi2","rural","white_pop_change"
"0500000US42001",101407,91830,9577,103852,89945,13907,"Adams County",1343400759,2445,4330,2.4,200.219810356472,1,-1885
"0500000US42003",1223348,986212,237136,1250578,938252,312326,"Allegheny County",1890571829,27230,75190,2.2,1713.22882365216,0,-47960
"0500000US42005",68941,67326,1615,65558,62320,3238,"Armstrong County",1692093647,-3383,1623,-5.2,100.345770351669,1,-5006
"0500000US42007",170539,154196,16343,168215,143881,24334,"Beaver County",1125854819,-2324,7991,-1.4,386.972496427757,0,-10315
"0500000US42009",49762,48535,1227,47577,45381,2196,"Bedford County",2621693106,-2185,969,-4.6,47.0016357091759,1,-3154
"0500000US42011",411442,316406,95036,428849,291258,137591,"Berks County",2218072312,17407,42555,4.1,500.756357209958,0,-25148
"0500000US42013",127089,121495,5594,122822,113016,9806,"Blair County",1360458062,-4267,4212,-3.5,233.823833701108,1,-8479
"0500000US42015",62622,60584,2038,59967,55717,4250,"Bradford County",2971943389,-2655,2212,-4.4,52.2600186690063,1,-4867
"0500000US42017",625249,543207,82042,646538,521575,124963,"Bucks County",1565303838,21289,42921,3.3,1069.7768011626,0,-21632
"0500000US42019",183862,176259,7603,193763,178081,15682,"Butler County",2044759924,9901,8079,5.1,245.429236101328,1,1822
"0500000US42021",143679,134073,9606,133472,119380,14092,"Cambria County",1780643391,-10207,4486,-7.6,194.138194522926,1,-14693
"0500000US42023",5085,4985,100,4547,4271,276,"Cameron County",1026239931,-538,176,-11.8,11.4755580838629,1,-714
"0500000US42025",65249,61168,4081,64749,57439,7310,"Carbon County",987623689,-500,3229,-0.8,169.800645733995,1,-3729
"0500000US42027",153990,135427,18563,158172,129668,28504,"Centre County",2871539708,4182,9941,2.6,142.663393507536,1,-5759
"0500000US42029",498886,409561,89325,534413,405476,128937,"Chester County",1943905797,35527,39612,6.6,712.032094335809,0,-4085
"0500000US42031",39988,38724,1264,37241,35023,2218,"Clarion County",1556156259,-2747,954,-7.4,61.9820449563928,1,-3701
"0500000US42033",81642,77031,4611,80562,73338,7224,"Clearfield County",2966379119,-1080,2613,-1.3,70.3398364630344,1,-3693
"0500000US42035",39238,37618,1620,37450,34933,2517,"Clinton County",2299868386,-1788,897,-4.8,42.174176274581,1,-2685
"0500000US42037",67295,63500,3795,64727,58831,5896,"Columbia County",1251512004,-2568,2101,-4,133.951699911917,1,-4669
"0500000US42039",88765,84930,3835,83938,77347,6591,"Crawford County",2621988043,-4827,2756,-5.8,82.9135825228399,1,-7583
"0500000US42041",235406,210514,24892,259469,211990,47479,"Cumberland County",1412785599,24063,22587,9.3,475.671344179373,0,1476
"0500000US42043",268100,187402,80698,286401,175175,111226,"Dauphin County",1359407363,18301,30528,6.4,545.660708395111,0,-12227
"0500000US42045",558979,397424,161555,576830,363249,213581,"Delaware County",476078155,17851,52026,3.1,3138.10416588281,0,-34175
"0500000US42047",31946,31345,601,30990,29466,1524,"Elk County",2141664734,-956,923,-3.1,37.4772625493958,1,-1879
"0500000US42049",280566,242787,37779,270876,219180,51696,"Erie County",2069174742,-9690,13917,-3.6,339.055762205104,0,-23607
"0500000US42051",136606,126888,9718,128804,115322,13482,"Fayette County",2048054606,-7802,3764,-6.1,162.886686489276,1,-11566
"0500000US42053",7716,5850,1866,6973,5278,1695,"Forest County",1106595595,-743,-171,-10.7,16.3203135568509,1,-572
"0500000US42055",149618,135004,14614,155932,132566,23366,"Franklin County",2000245527,6314,8752,4,201.906226269251,1,-2438
"0500000US42057",14845,14387,458,14556,13726,830,"Fulton County",1133252795,-289,372,-2,33.2669525241806,1,-661
"0500000US42059",38686,36409,2277,35954,32898,3056,"Greene County",1491658046,-2732,779,-7.6,62.4274663731744,1,-3511
"0500000US42061",45913,42197,3716,44092,39420,4672,"Huntingdon County",2265337347,-1821,956,-4.1,50.4109270512636,1,-2777
"0500000US42063",88880,83864,5016,83246,75718,7528,"Indiana County",2142965919,-5634,2512,-6.8,100.611096188441,1,-8146
"0500000US42065",45200,44264,936,44492,42317,2175,"Jefferson County",1689799787,-708,1239,-1.6,68.1937303322195,1,-1947
"0500000US42067",24636,23584,1052,23509,21830,1679,"Juniata County",1013697487,-1127,627,-4.8,60.0652869902892,1,-1754
"0500000US42069",214437,192250,22187,215896,175246,40650,"Lackawanna County",1188837920,1459,18463,0.7,470.348450019629,0,-17004
"0500000US42071",519445,440969,78476,552984,440613,112371,"Lancaster County",2444751632,33539,33895,6.1,585.835373325252,0,-356
"0500000US42073",91108,84872,6236,86070,75811,10259,"Lawrence County",925571230,-5038,4023,-5.9,240.846160081812,1,-9061
"0500000US42075",133568,116010,17558,143257,114004,29253,"Lebanon County",937148912,9689,11695,6.8,395.917790570161,0,-2006
"0500000US42077",349497,250245,99252,374557,227994,146563,"Lehigh County",894405982,25060,47311,6.7,1084.62845289564,0,-22251
"0500000US42079",320918,283058,37860,325594,250304,75290,"Luzerne County",2304216457,4676,37430,1.4,365.97455335653,0,-32754
"0500000US42081",116111,106710,9401,114188,99687,14501,"Lycoming County",3182886778,-1923,5100,-1.7,92.9173994968539,1,-7023
"0500000US42083",43450,41039,2411,40432,36991,3441,"McKean County",2537395850,-3018,1030,-7.5,41.2700285860088,1,-4048
"0500000US42085",116638,106176,10462,110652,96998,13654,"Mercer County",1741819732,-5986,3192,-5.4,164.533309092011,1,-9178
"0500000US42087",46682,45199,1483,46143,43343,2800,"Mifflin County",1064602254,-539,1317,-1.2,112.257719641959,1,-1856
"0500000US42089",169842,119741,50101,168327,104716,63611,"Monroe County",1575636945,-1515,13510,-0.9,276.691232695086,1,-15025
"0500000US42091",799874,631784,168090,856553,618244,238309,"Montgomery County",1250887844,56679,70219,6.6,1773.50998830622,0,-13540
"0500000US42093",18267,17206,1061,18136,16105,2031,"Montour County",337322557,-131,970,-0.7,139.249579929397,1,-1101
"0500000US42095",297735,241163,56572,312951,228373,84578,"Northampton County",957745652,15216,28006,4.9,846.299189476884,0,-12790
"0500000US42097",94528,89166,5362,91647,81689,9958,"Northumberland County",1185344304,-2881,4596,-3.1,200.249530466525,1,-7477
"0500000US42099",45969,44427,1542,45842,42838,3004,"Perry County",1428247558,-127,1462,-0.3,83.1300108119072,1,-1589
"0500000US42101",1526006,562585,963421,1603797,550828,1052969,"Philadelphia County",347981634,77791,89548,4.9,11936.8804413789,0,-11757
"0500000US42103",57369,47549,9820,58535,45375,13160,"Pike County",1411272636,1166,3340,2,107.424285110882,1,-2174
"0500000US42105",17457,17000,457,16396,15494,902,"Potter County",2800422768,-1061,445,-6.5,15.1639407937995,1,-1506
"0500000US42107",148289,138248,10041,143049,126192,16857,"Schuylkill County",2016509909,-5240,6816,-3.7,183.73091423643,1,-12056
"0500000US42109",39702,38127,1575,39736,36992,2744,"Snyder County",851547199,34,1169,0.1,120.857384839992,1,-1135
"0500000US42111",77742,74265,3477,74129,69044,5085,"Somerset County",2784357763,-3613,1608,-4.9,68.9542238994918,1,-5221
"0500000US42113",6428,6089,339,5840,5406,434,"Sullivan County",1165337409,-588,95,-10.1,12.9795288862987,1,-683
"0500000US42115",43356,42117,1239,38434,35799,2635,"Susquehanna County",2132849539,-4922,1396,-12.8,46.671648046215,1,-6318
"0500000US42117",41981,40560,1421,41045,38257,2788,"Tioga County",2936540901,-936,1367,-2.3,36.2011174231385,1,-2303
"0500000US42119",44947,38311,6636,42681,36050,6631,"Union County",818313044,-2266,-5,-5.3,135.086790236855,1,-2261
"0500000US42121",54984,53052,1932,50454,47117,3337,"Venango County",1746337768,-4530,1405,-9,74.8281704126438,1,-5935
"0500000US42123",41815,40827,988,38587,36310,2277,"Warren County",2290280119,-3228,1289,-8.4,43.6365274149114,1,-4517
"0500000US42125",207820,194171,13649,209349,186900,22449,"Washington County",2219644652,1529,8800,0.7,244.2784795989,1,-7271
"0500000US42127",52822,48590,4232,51155,44821,6334,"Wayne County",1879734030,-1667,2102,-3.3,70.4838235902182,1,-3769
"0500000US42129",365169,346111,19058,354663,323114,31549,"Westmoreland County",2661762744,-10506,12491,-3,345.099485342008,0,-22997
"0500000US42131",28276,27270,1006,26069,24142,1927,"Wyoming County",1029198657,-2207,921,-8.5,65.6028839334076,1,-3128
"0500000US42133",434972,374779,60193,456438,365353,91085,"York County",2342295972,21466,30892,4.7,504.705215345937,0,-9426
