"COUSUB20","pres12D","pres12R","pres20D","pres20R","DEM12","DEM20","COUNTY20","NAME","area_meters","area_sqmiles","NAME_COUNTY_STATE","total","density","municipalclass","COUNTYNAME","countyclass","CLASSIFICAITON"
4200100116,129,195,137,345,0.398148148148148,0.284232365145228,"42001","Abbottstown",1414125,0.545996738208826,"Abbottstown borough, Adams County, Pennsylvania",1022,1871.80605392027,"suburban","Adams","rural","suburban rural"
4200102928,154,200,175,275,0.435028248587571,0.388888888888889,"42001","Arendtsville",2073962,0.800761239048212,"Arendtsville borough, Adams County, Pennsylvania",867,1082.7197393202,"suburban","Adams","rural","suburban rural"
4200105536,71,173,102,202,0.290983606557377,0.335526315789474,"42001","Bendersville",1169782,0.451655374465055,"Bendersville borough, Adams County, Pennsylvania",736,1629.56103615887,"suburban","Adams","rural","suburban rural"
4200105880,312,649,374,954,0.324661810613944,0.281626506024096,"42001","Berwick",19929923,7.69498661769862,"Berwick township, Adams County, Pennsylvania",2403,312.281244839732,"suburban","Adams","rural","suburban rural"
4200106296,159,350,193,366,0.31237721021611,0.34525939177102,"42001","Biglerville",1686050,0.650987572143191,"Biglerville borough, Adams County, Pennsylvania",1225,1881.75635360754,"suburban","Adams","rural","suburban rural"
4200107560,264,467,255,610,0.361149110807114,0.294797687861272,"42001","Bonneauville",2502580,0.966251581088407,"Bonneauville borough, Adams County, Pennsylvania",1758,1819.40193879916,"suburban","Adams","rural","suburban rural"
4200110456,339,748,371,1045,0.311867525298988,0.262005649717514,"42001","Butler",62061226,23.9619743411939,"Butler township, Adams County, Pennsylvania",2550,106.418609906288,"rural","Adams","rural","rural rural"
4200111472,689,1201,852,1699,0.364550264550265,0.333986671893375,"42001","Carroll Valley",13926644,5.37710753872219,"Carroll Valley borough, Adams County, Pennsylvania",3940,732.735949881393,"suburban","Adams","rural","suburban rural"
4200115632,1014,1906,1295,2893,0.347260273972603,0.309216809933142,"42001","Conewago",26962004,10.4100883865099,"Conewago township, Adams County, Pennsylvania",7875,756.477726952344,"suburban","Adams","rural","suburban rural"
4200117640,1433,2013,2001,2387,0.415844457341846,0.456016408386509,"42001","Cumberland",86592667,33.4336170669517,"Cumberland township, Adams County, Pennsylvania",7033,210.35713802417,"rural","Adams","rural","rural rural"
4200120792,233,443,250,599,0.344674556213018,0.294464075382803,"42001","East Berlin",1819955,0.702688583885331,"East Berlin borough, Adams County, Pennsylvania",1542,2194.42870620427,"suburban","Adams","rural","suburban rural"
4200124560,78,146,123,199,0.348214285714286,0.381987577639752,"42001","Fairfield",1742519,0.672790375862745,"Fairfield borough, Adams County, Pennsylvania",526,781.818555780453,"suburban","Adams","rural","suburban rural"
4200127320,717,1328,796,1945,0.350611246943765,0.290404961692813,"42001","Franklin",176624923,68.1952669278777,"Franklin township, Adams County, Pennsylvania",4676,68.5678084513588,"rural","Adams","rural","rural rural"
4200127704,161,299,189,380,0.35,0.332161687170475,"42001","Freedom",36136304,13.9523055705277,"Freedom township, Adams County, Pennsylvania",825,59.1300123000958,"rural","Adams","rural","rural rural"
4200128936,320,867,399,1351,0.269587194608256,0.228,"42001","Germany",28231224,10.9001369890517,"Germany township, Adams County, Pennsylvania",2844,260.914152075022,"rural","Adams","rural","rural rural"
4200128960,1506,918,1776,971,0.621287128712871,0.646523480160175,"42001","Gettysburg",4298766,1.65976290237638,"Gettysburg borough, Adams County, Pennsylvania",7106,4281.33439410287,"urban","Adams","rural","urban rural"
4200132144,341,828,354,1115,0.291702309666381,0.240980258679374,"42001","Hamilton",34963078,13.499320460172,"Hamilton township, Adams County, Pennsylvania",2714,201.04715700374,"rural","Adams","rural","rural rural"
4200132200,363,681,352,986,0.347701149425287,0.263079222720478,"42001","Hamiltonban",101361134,39.1357542969311,"Hamiltonban township, Adams County, Pennsylvania",2300,58.7697884279787,"rural","Adams","rural","rural rural"
4200134424,180,329,182,442,0.353634577603143,0.291666666666667,"42001","Highland",31434324,12.1368608657646,"Highland township, Adams County, Pennsylvania",997,82.1464471766595,"rural","Adams","rural","rural rural"
4200136424,231,728,248,1023,0.240875912408759,0.195121951219512,"42001","Huntington",64891637,25.0548021844117,"Huntington township, Adams County, Pennsylvania",2395,95.5904573650993,"rural","Adams","rural","rural rural"
4200141672,344,916,398,1115,0.273015873015873,0.26305353602115,"42001","Latimore",54776618,21.1493713484387,"Latimore township, Adams County, Pennsylvania",2646,125.110101686088,"rural","Adams","rural","rural rural"
4200143056,216,400,241,609,0.350649350649351,0.283529411764706,"42001","Liberty",41998277,16.2156260955649,"Liberty township, Adams County, Pennsylvania",1376,84.8564213241415,"rural","Adams","rural","rural rural"
4200143944,541,1067,636,1716,0.336442786069652,0.270408163265306,"42001","Littlestown",3892405,1.50286603644496,"Littlestown borough, Adams County, Pennsylvania",4782,3181.92033357269,"urban","Adams","rural","urban rural"
4200146376,424,541,457,834,0.439378238341969,0.353989155693261,"42001","McSherrystown",1325395,0.511737892221894,"McSherrystown borough, Adams County, Pennsylvania",3077,6012.84377562915,"urban","Adams","rural","urban rural"
4200148608,387,950,496,1391,0.289454001495886,0.262851086380498,"42001","Menallen",110583170,42.6964024543743,"Menallen township, Adams County, Pennsylvania",3701,86.6817761509278,"rural","Adams","rural","rural rural"
4200151640,638,1193,828,1503,0.348443473511742,0.355212355212355,"42001","Mount Joy",67348072,26.0032370806351,"Mount Joy township, Adams County, Pennsylvania",3789,145.712627556732,"rural","Adams","rural","rural rural"
4200151776,597,1101,734,1743,0.351590106007067,0.296326201049657,"42001","Mount Pleasant",78696012,30.3847013962999,"Mount Pleasant township, Adams County, Pennsylvania",4666,153.56412225819,"rural","Adams","rural","rural rural"
4200153920,260,342,288,457,0.431893687707641,0.386577181208054,"42001","New Oxford",1603254,0.619019856462655,"New Oxford borough, Adams County, Pennsylvania",1868,3017.67379591755,"urban","Adams","rural","urban rural"
4200157472,752,1293,1050,2149,0.367726161369193,0.328227571115974,"42001","Oxford",24781968,9.56837174535172,"Oxford township, Adams County, Pennsylvania",5936,620.377234285832,"suburban","Adams","rural","suburban rural"
4200163616,753,1623,887,2337,0.316919191919192,0.275124069478908,"42001","Reading",68131713,26.3058025751471,"Reading township, Adams County, Pennsylvania",5799,220.445659600545,"rural","Adams","rural","rural rural"
4200174680,812,1235,1002,1583,0.396678065461651,0.387620889748549,"42001","Straban",88840602,34.3015496596895,"Straban township, Adams County, Pennsylvania",4851,141.422182033391,"rural","Adams","rural","rural rural"
4200178160,256,565,304,865,0.311814859926918,0.260051325919589,"42001","Tyrone",55660254,21.4905451299388,"Tyrone township, Adams County, Pennsylvania",2268,105.534782216409,"rural","Adams","rural","rural rural"
4200178264,352,983,422,1354,0.263670411985019,0.237612612612613,"42001","Union",45424408,17.5384627264682,"Union township, Adams County, Pennsylvania",3076,175.385953032123,"rural","Adams","rural","rural rural"
4200187136,66,90,87,124,0.423076923076923,0.412322274881517,"42001","York Springs",515784,0.19914532422544,"York Springs borough, Adams County, Pennsylvania",683,3429.65622043336,"urban","Adams","rural","urban rural"
4200300724,375,585,559,540,0.390625,0.508644222020018,"42003","Aleppo",4611153,1.78037620251522,"Aleppo township, Allegheny County, Pennsylvania",1825,1025.06425182595,"suburban","Allegheny","urban","suburban urban"
