"ID","ag2018stroke","ag2022stroke","gov2018stroke","gov2022stroke","president2016stroke","president2020stroke","president2024stroke","senator2016stroke","senator2018stroke","senator2022stroke","senator2024stroke","trea2018stroke","trea2022stroke"
1,"none","none","none","none","none","none","none","none","none","none","none","none","none"
2,"none","none","none","none","none","none","none","none","none","none","none","none","none"
3,"none","none","none","none","none","none","none","none","none","none","none","none","none"
4,"none","none","none","none","none","none","none","none","none","none","none","none","none"
5,"none","none","none","none","none","none","none","none","none","none","none","none","none"
6,"none","none","none","none","none","none","none","none","none","none","none","none","none"
7,"none","none","none","none","none","none","none","none","none","none","none","none","none"
8,"none","none","none","none","none","none","none","none","none","none","none","none","none"
9,"none","none","none","none","none","none","none","none","none","none","none","none","none"
10,"none","none","none","none","none","none","none","none","none","none","none","none","none"
11,"none","none","none","none","none","none","none","none","none","none","none","none","none"
12,"none","none","none","none","none","none","none","none","none","none","none","none","none"
13,"none","none","none","none","none","none","none","none","none","none","none","none","none"
14,"none","none","none","none","none","none","none","none","none","none","none","none","none"
15,"none","none","none","none","none","none","none","none","none","none","none","none","none"
16,"none","none","none","none","none","none","none","none","none","none","none","none","none"
17,"none","none","none","none","none","none","none","none","none","none","none","none","none"
18,"none","none","none","none","none","none","none","none","none","none","none","none","none"
19,"none","none","none","none","none","none","none","none","none","none","none","none","none"
20,"none","none","none","none","none","none","none","none","none","none","none","none","none"
21,"none","none","none","none","none","none","none","none","none","none","none","none","none"
22,"none","none","none","none","none","none","none","none","none","none","none","none","none"
23,"none","#000000","none","#000000","none","none","none","none","none","none","none","none","#000000"
24,"none","none","none","none","none","none","none","none","none","none","none","none","none"
25,"none","none","none","none","none","none","none","none","none","none","none","none","none"
26,"#000000","none","#000000","none","none","none","none","#000000","#000000","none","none","#000000","none"
27,"none","none","none","none","none","none","none","none","none","none","none","none","none"
28,"none","none","none","none","none","none","none","none","none","none","none","none","none"
