ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",717754,0,0.2197,0.7696,0.0107,557336,0.7476,0.2524,0.0383,0.1625,0.018,0.0311,0.0015,
"2",717754,0,0.5339,0.4532,0.0128,558661,0.4438,0.5562,0.0308,0.4869,0.0224,0.0192,0.0013,
"3",717754,0,0.2619,0.7271,0.0111,564595,0.7176,0.2824,0.0312,0.207,0.0212,0.0226,0.001,
"4",717754,0,0.1634,0.8265,0.0102,555217,0.8283,0.1717,0.061,0.0722,0.0083,0.0311,0.001,
"5",717754,0,0.3461,0.6359,0.018,560406,0.7027,0.2973,0.053,0.1833,0.0251,0.0363,0.0018,
"6",717755,0,0.297,0.6864,0.0165,552411,0.7341,0.2659,0.0456,0.1755,0.0219,0.0215,0.001,
"7",717754,0,0.6134,0.3737,0.0129,568540,0.4144,0.5856,0.0386,0.5191,0.017,0.0137,0.0011,
"",717754,0,0.341,0.6457,0.0133,559595,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
