name,id,state,planType,year,nDistricts,modified,filename
"AK 2018 Lower State House",5ab284b5-6786-4494-b4b4-19c8dce4daec,AK,lower,2018,40,2021-05-02,"AK 2018 Lower State House.csv"
"AK 2018 Upper State House",bdba735e-167f-4bb9-80e4-e27c2b294263,AK,upper,2018,20,,"AK 2018 Upper State House.csv"
"AK 2020 State House",221a3b4c-750b-4ff6-a3a9-34a1f5b77e9f,AK,lower,2020,40,2021-11-09,"AK 2020 State House.csv"
"AK 2020 State Senate",4ab6f5a0-0c30-4fc4-9b2d-706e9026d87f,AK,upper,2020,20,2021-11-09,"AK 2020 State Senate.csv"
"AK 2022 State House",00c40e22-b9d4-4be4-b83c-0fe653360f1c,AK,lower,2022,40,2022-09-27,"AK 2022 State House.csv"
"AK 2022 State Senate",bdb0da36-3ec9-42ab-8971-643d667dbf6b,AK,upper,2022,20,2022-12-20,"AK 2022 State Senate.csv"
"AL 116th Congressional",a3df66fd-3cb8-4c76-ba40-04a804c80a20,AL,congress,115,7,2021-05-03,"AL 116th Congressional.csv"
"AL 2018 Lower State House",2f8b0500-89c0-4850-a322-6bbca01ef671,AL,lower,2018,105,,"AL 2018 Lower State House.csv"
"AL 2018 Upper State House",dbd4c81b-34c4-4e41-8b1f-da634a6d9a6e,AL,upper,2018,35,,"AL 2018 Upper State House.csv"
"AL 2020 Congressional",f025ff76-e268-4033-971d-d7d755ea01bb,AL,congress,2020,7,2022-06-11,"AL 2020 Congressional.csv"
"AL 2020 State House",344dad94-a85c-4a55-8961-39d88e8835d0,AL,lower,2020,105,2021-11-09,"AL 2020 State House.csv"
"AL 2020 State Senate",d68ce671-e1a9-4806-9eac-ba7478189558,AL,upper,2020,35,2021-11-09,"AL 2020 State Senate.csv"
"AL 2022 Congressional",b1cfc3f6-27df-498d-a147-0664d75fea88,AL,congress,2022,7,2021-11-15,"AL 2022 Congressional.csv"
"AL 2022 State House",642e8d2a-248c-4191-a88a-a6cdad508cdb,AL,lower,2022,105,2021-11-15,"AL 2022 State House.csv"
"AL 2022 State Senate",b694ea80-20d6-45fb-a0e2-09ddaa2880d5,AL,upper,2022,35,2021-11-15,"AL 2022 State Senate.csv"
"AL 2024 Congressional",e164e6f9-b758-4c9e-b6bb-332a1386c0cd,AL,congress,2024,7,2023-12-22,"AL 2024 Congressional.csv"
"AR 116th Congress",362b215a-ca8d-4796-b024-afb1b2144472,AR,congress,115,4,,"AR 116th Congress.csv"
"AR 2018 Lower State House",6a179e3d-0f5a-4d37-b22e-aedb1180891b,AR,lower,2018,100,,"AR 2018 Lower State House.csv"
"AR 2018 Upper State House",23f3b195-d111-449c-afdc-1dab33556c20,AR,upper,2018,35,2019-11-05,"AR 2018 Upper State House.csv"
"AR 2020 Congressional",1db11e90-c162-4363-847c-a0d34a8864e8,AR,congress,2020,4,2022-06-11,"AR 2020 Congressional.csv"
"AR 2020 State House",5ae54dad-eff3-4691-a70a-93a6c4c7d54f,AR,lower,2020,100,2021-11-09,"AR 2020 State House.csv"
"AR 2020 State Senate",675350c0-88b5-4e21-bc75-72ebd663f484,AR,upper,2020,35,2021-11-09,"AR 2020 State Senate.csv"
"AR 2022 Congressional",fa3434ec-4f52-48de-947b-5998b6937bf0,AR,congress,2022,4,2021-11-15,"AR 2022 Congressional.csv"
"AR 2022 State House",583730d5-1254-4dca-8f73-850940804307,AR,lower,2022,100,,"AR 2022 State House.csv"
"AR 2022 State Senate",083cee53-0d0c-43af-ace1-863ccd3a2fe5,AR,upper,2022,35,2022-12-17,"AR 2022 State Senate.csv"
"AZ 116th Congressional",411b45cb-5c12-471e-afe2-9440225624b4,AZ,congress,115,9,2021-05-03,"AZ 116th Congressional.csv"
"AZ 2018 Upper State House",8c641e70-cbc1-43cd-9458-4fcba1481c08,AZ,lower,2018,30,2019-11-05,"AZ 2018 Upper State House.csv"
"AZ 2020 Congressional",283ef00f-9b80-4547-984f-74c25f554eef,AZ,congress,2020,9,,"AZ 2020 Congressional.csv"
"AZ 2020 State Legislatures",315552d3-98d9-4f42-a421-e8a25bc3de17,AZ,upper,2020,30,,"AZ 2020 State Legislatures.csv"
"AZ 2022 Congressional",4ee8ecf2-14b7-4a8d-99bc-82fa633a9305,AZ,congress,2022,9,2022-02-03,"AZ 2022 Congressional.csv"
"AZ 2022 State Legislature",72e34ca5-9ae1-4ddd-96f0-697bd261294e,AZ,upper,2022,30,,"AZ 2022 State Legislature.csv"
"CA 116th Congressional",49552eb5-eb2b-4d2b-b3f3-7fb4479039dd,CA,congress,115,53,,"CA 116th Congressional.csv"
"CA 2018 Lower State House",c117a92d-7b7f-4c93-9d31-8e9b023aacbc,CA,lower,2018,80,,"CA 2018 Lower State House.csv"
"CA 2018 Upper State House",384d098d-13bf-464d-ac2d-8691804542b6,CA,upper,2018,40,,"CA 2018 Upper State House.csv"
