ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"District 1",776249,-0.0001,0.421,0.5688,0.0102,603226,0.7058,0.2942,0.1039,0.1334,0.03,0.03,0.0012,
"District 2",776248,-0.0001,0.814,0.1775,0.0085,598884,0.2969,0.7031,0.0825,0.5826,0.0336,0.0155,0.0011,
"District 3",776355,0.0001,0.3837,0.6103,0.0061,586663,0.6397,0.3603,0.0463,0.278,0.0201,0.0167,0.001,
"District 4",776337,0.0001,0.3907,0.6012,0.0082,590468,0.6113,0.3887,0.0431,0.3034,0.0154,0.0265,0.0018,
"District 5",776285,0,0.4069,0.5873,0.0059,597119,0.6002,0.3998,0.0358,0.3322,0.0129,0.0195,0.001,
"District 6",776283,0,0.4617,0.5317,0.0065,594188,0.646,0.354,0.0633,0.2454,0.0272,0.0175,0.0009,
"",776293,0.0001,0.4741,0.5184,0.0075,595091,0.5831,0.4169,0.0626,0.3125,0.0232,0.021,0.0012,
